검토상태,전표번호,전표유형,계정과목,품목이름,금액,적요,1차판정,판정신뢰도,적용규칙ID,핵심쟁점,판정사유,법령근거,추가확인사항,근거URL,매칭문구,규칙버전
프로토타입 1차 스크리닝,18260121-3,과세매입,원자재,철판,4353000,A라인 생산용 SS400 철판 원재료 매입,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,원자재 | 철판 | A라인 생산용 SS400 철판 원재료 매입,2026-08-13
프로토타입 1차 스크리닝,18260121-4,과세매입,지급수수료,재무실사,7600000,신규 과세사업 부지 확보와 사업시행에 필수인 법인 인수 전 재무·자산 실사 수수료,공제 가능,중간,R120_BUSINESS_EXPANSION_SERVICE,과세사업 수행을 위한 인수·실사·자문,구체적 사업 수행에 필요하고 토지 자체의 가치 증가 비용이 아닌 용역은 공제 가능,부가가치세법 제38조 제1항·대법원 2010두15902·2010두12552,계약서·자문 산출물·사업계획·대금지급 증빙을 보관하세요.,https://law.go.kr/LSW/precInfoP.do?precSeq=171788,지급수수료 | 재무실사 | 신규 과세사업 부지 확보와 사업시행에 필수인 법인 인수 전 재무·자산 실사 수수료,2026-08-13
프로토타입 1차 스크리닝,18260122-1,과세매입,부재료비,용접봉,1999000,생산공정 용접작업용 용접봉 구매,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,부재료비 | 용접봉 | 생산공정 용접작업용 용접봉 구매,2026-08-13
프로토타입 1차 스크리닝,18260122-2,과세매입,기업업무추진비,거래처선물,819000,거래처 대표 명절 선물세트 제공,불공제 가능,높음,R040_BUSINESS_PROMOTION,기업업무추진비·접대성 지출,기업업무추진비와 유사한 접대성 비용의 매입세액은 불공제,부가가치세법 제39조 제1항 제6호·시행령 제79조,지출 상대방·목적·참석자와 광고선전 또는 복리후생 해당 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제79조,기업업무추진비 | 거래처선물 | 거래처 대표 명절 선물세트 제공,2026-08-13
프로토타입 1차 스크리닝,18260122-3,과세매입,소모품비,가사용품,1250000,대표 개인주거지 배송 가사용 생활용품,불공제 가능,높음,R030_PRIVATE_OR_HOME_USE,사업과 직접 관련 없는 개인·가사 지출,대표자 개인사용·가사 지출 등 사업과 직접 관련 없는 지출은 불공제,부가가치세법 제39조 제1항 제4호·시행령 제77조,실제 사용 장소와 사용자 및 회사업무 관련성을 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제77조,소모품비 | 가사용품 | 대표 개인주거지 배송 가사용 생활용품,2026-08-13
프로토타입 1차 스크리닝,18260122-4,과세매입,기업업무추진비,거래처식사,1083000,주요 거래처 임원 4명 접대 목적 저녁식사,불공제 가능,높음,R040_BUSINESS_PROMOTION,기업업무추진비·접대성 지출,기업업무추진비와 유사한 접대성 비용의 매입세액은 불공제,부가가치세법 제39조 제1항 제6호·시행령 제79조,지출 상대방·목적·참석자와 광고선전 또는 복리후생 해당 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제79조,기업업무추진비 | 거래처식사 | 주요 거래처 임원 4명 접대 목적 저녁식사,2026-08-13
프로토타입 1차 스크리닝,18260123-1,과세매입,지급수수료,자문료,3577000,외부 컨설팅 수수료 - 프로젝트명 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,지급수수료 | 자문료 | 외부 컨설팅 수수료 - 프로젝트명 미기재,2026-08-13
프로토타입 1차 스크리닝,18260123-2,과세매입,비품,노트북,192000,품질관리팀 검사데이터 분석용 노트북 구입,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,비품 | 노트북 | 품질관리팀 검사데이터 분석용 노트북 구입,2026-08-13
프로토타입 1차 스크리닝,18260123-3,과세매입,복리후생비,식대,855000,주말 식대 6명 - 임직원 여부 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,복리후생비 | 식대 | 주말 식대 6명 - 임직원 여부 미기재,2026-08-13
프로토타입 1차 스크리닝,18260123-4,과세매입,회의비,식대,4258000,외부 참석자 포함 회의 식대 - 참석자 명단 미첨부,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,회의비 | 식대 | 외부 참석자 포함 회의 식대 - 참석자 명단 미첨부,2026-08-13
프로토타입 1차 스크리닝,18260124-1,과세매입,복리후생비(관리),직원간식,204000,사무실 전 직원 공용 간식 및 생수 구매,공제 가능,중간,R150_EMPLOYEE_WELFARE_TRAINING,종업원 복리후생·직무교육,종업원 공동 복리후생과 직무 관련 교육은 사업 관련 매입으로 공제 가능,부가가치세법 제38조 제1항,대상자가 종업원인지와 복리후생 기준을 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,복리후생비(관리) | 직원간식 | 사무실 전 직원 공용 간식 및 생수 구매,2026-08-13
프로토타입 1차 스크리닝,18260124-2,과세매입,원자재,포장박스,2810000,"세금계산서 공급자 사업자등록은 가족 명의이나 실운영자가 직접 사업장·직원·재고를 관리하고 포장박스 전량 실제 입고, 수량·단가·대금 일치 확인",추가검토,높음,R010_SUPPLIER_NAME_MISMATCH,명의와 실질 거래주체 판단,세금계산서 명의와 실제 공급자의 일치 여부는 구체적 거래 사실을 확인해야 함,부가가치세법 제39조 제1항 제2호,계약·발주·납품·대금수령 주체와 명의자의 실제 관여를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제39조,"원자재 | 포장박스 | 세금계산서 공급자 사업자등록은 가족 명의이나 실운영자가 직접 사업장·직원·재고를 관리하고 포장박스 전량 실제 입고, 수량…",2026-08-13
프로토타입 1차 스크리닝,18260124-3,과세매입,교육훈련비,안전교육,737000,생산팀 산업안전·설비조작 교육비,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,교육훈련비 | 안전교육 | 생산팀 산업안전·설비조작 교육비,2026-08-13
프로토타입 1차 스크리닝,18260124-4,과세매입,광고선전비,제품카탈로그,7518000,"B2B 영업용 제품 카탈로그 2,000부 제작",공제 가능,중간,R160_ADVERTISING_SALES,광고·판매촉진,과세매출을 위한 일반 광고·판매촉진비는 공제 원칙,부가가치세법 제38조 제1항,배포대상과 광고 목적을 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,"광고선전비 | 제품카탈로그 | B2B 영업용 제품 카탈로그 2,000부 제작",2026-08-13
프로토타입 1차 스크리닝,18260125-1,과세매입,외주가공비,도금가공,792000,납품제품 표면 아연도금 외주가공,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,외주가공비 | 도금가공 | 납품제품 표면 아연도금 외주가공,2026-08-13
프로토타입 1차 스크리닝,18260125-2,과세매입,원자재,철판,8026000,A라인 생산용 SS400 철판 원재료 매입,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,원자재 | 철판 | A라인 생산용 SS400 철판 원재료 매입,2026-08-13
프로토타입 1차 스크리닝,18260125-3,과세매입,부재료비,용접봉,2860000,생산공정 용접작업용 용접봉 구매,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,부재료비 | 용접봉 | 생산공정 용접작업용 용접봉 구매,2026-08-13
프로토타입 1차 스크리닝,18260125-4,과세매입,기업업무추진비,골프비,1271000,거래처 관계유지 목적 골프장 이용료,불공제 가능,높음,R040_BUSINESS_PROMOTION,기업업무추진비·접대성 지출,기업업무추진비와 유사한 접대성 비용의 매입세액은 불공제,부가가치세법 제39조 제1항 제6호·시행령 제79조,지출 상대방·목적·참석자와 광고선전 또는 복리후생 해당 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제79조,기업업무추진비 | 골프비 | 거래처 관계유지 목적 골프장 이용료,2026-08-13
프로토타입 1차 스크리닝,18260126-1,과세매입,광고선전비,기념품,1818000,신제품 홍보용 기념품 구매 - 배포대상 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,광고선전비 | 기념품 | 신제품 홍보용 기념품 구매 - 배포대상 미기재,2026-08-13
프로토타입 1차 스크리닝,18260126-2,과세매입,교육훈련비,안전교육,3958000,생산팀 산업안전·설비조작 교육비,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,교육훈련비 | 안전교육 | 생산팀 산업안전·설비조작 교육비,2026-08-13
프로토타입 1차 스크리닝,18260126-3,과세매입,소모품비(생산),안전장갑,7387000,현장 생산직 지급용 안전장갑 구매,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,소모품비(생산) | 안전장갑 | 현장 생산직 지급용 안전장갑 구매,2026-08-13
프로토타입 1차 스크리닝,18260126-4,과세매입,원자재,스프원료,1830000,공급자 등록명의와 실운영자 상이. 실운영자가 계약·납품·대금수령 전담했고 세금계산서 기재 수량과 실제 검수수량·가격이 일치,추가검토,높음,R010_SUPPLIER_NAME_MISMATCH,명의와 실질 거래주체 판단,세금계산서 명의와 실제 공급자의 일치 여부는 구체적 거래 사실을 확인해야 함,부가가치세법 제39조 제1항 제2호,계약·발주·납품·대금수령 주체와 명의자의 실제 관여를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제39조,원자재 | 스프원료 | 공급자 등록명의와 실운영자 상이. 실운영자가 계약·납품·대금수령 전담했고 세금계산서 기재 수량과 실제 검수수량·가격이 일치,2026-08-13
프로토타입 1차 스크리닝,18260127-1,과세매입,차량유지비,승용차수리,1845000,"관리팀 1,600cc 승용차 엔진오일 및 수리",불공제 가능,높음,R050_SMALL_PASSENGER_CAR,비영업용 소형승용자동차 관련,직접 영업에 쓰는 예외 업종 외 소형승용차의 구입·임차·유지는 불공제,부가가치세법 제39조 제1항 제5호·시행령 제78조,차종·정원·배기량·차량번호와 직접 영업 사용 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제78조,"차량유지비 | 승용차수리 | 관리팀 1,600cc 승용차 엔진오일 및 수리",2026-08-13
프로토타입 1차 스크리닝,18260127-2,과세매입,차량유지비,승용차유류,635000,"대표이사 업무용 2,000cc 승용차 주유",불공제 가능,높음,R050_SMALL_PASSENGER_CAR,비영업용 소형승용자동차 관련,직접 영업에 쓰는 예외 업종 외 소형승용차의 구입·임차·유지는 불공제,부가가치세법 제39조 제1항 제5호·시행령 제78조,차종·정원·배기량·차량번호와 직접 영업 사용 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제78조,"차량유지비 | 승용차유류 | 대표이사 업무용 2,000cc 승용차 주유",2026-08-13
프로토타입 1차 스크리닝,18260127-3,과세매입,소모품비,가사용품,1816000,대표 개인주거지 배송 가사용 생활용품,불공제 가능,높음,R030_PRIVATE_OR_HOME_USE,사업과 직접 관련 없는 개인·가사 지출,대표자 개인사용·가사 지출 등 사업과 직접 관련 없는 지출은 불공제,부가가치세법 제39조 제1항 제4호·시행령 제77조,실제 사용 장소와 사용자 및 회사업무 관련성을 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제77조,소모품비 | 가사용품 | 대표 개인주거지 배송 가사용 생활용품,2026-08-13
프로토타입 1차 스크리닝,18260127-4,과세매입,수선비,시설수리,848000,건물 시설 수리비 - 사업장/사택 구분 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,수선비 | 시설수리 | 건물 시설 수리비 - 사업장/사택 구분 미기재,2026-08-13
프로토타입 1차 스크리닝,18260128-1,과세매입,원자재,베어링,5650000,감속기 조립용 베어링 생산자재 매입,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,원자재 | 베어링 | 감속기 조립용 베어링 생산자재 매입,2026-08-13
프로토타입 1차 스크리닝,18260128-2,과세매입,소모품비,전자기기,1238000,태블릿PC 구매 - 사용자 및 사용부서 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,소모품비 | 전자기기 | 태블릿PC 구매 - 사용자 및 사용부서 미기재,2026-08-13
프로토타입 1차 스크리닝,18260128-3,과세매입,광고선전비,기념품,1864000,신제품 홍보용 기념품 구매 - 배포대상 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,광고선전비 | 기념품 | 신제품 홍보용 기념품 구매 - 배포대상 미기재,2026-08-13
프로토타입 1차 스크리닝,18260128-4,과세매입,교육훈련비,안전교육,5377000,생산팀 산업안전·설비조작 교육비,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,교육훈련비 | 안전교육 | 생산팀 산업안전·설비조작 교육비,2026-08-13
프로토타입 1차 스크리닝,18260129-1,과세매입,차량유지비,승용차유류,765000,"대표이사 업무용 2,000cc 승용차 주유",불공제 가능,높음,R050_SMALL_PASSENGER_CAR,비영업용 소형승용자동차 관련,직접 영업에 쓰는 예외 업종 외 소형승용차의 구입·임차·유지는 불공제,부가가치세법 제39조 제1항 제5호·시행령 제78조,차종·정원·배기량·차량번호와 직접 영업 사용 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제78조,"차량유지비 | 승용차유류 | 대표이사 업무용 2,000cc 승용차 주유",2026-08-13
프로토타입 1차 스크리닝,18260129-2,과세매입,부재료비,포장필름,5730000,"형식상 제3자 명의 사업자등록이나 실운영자가 생산설비·직원·계좌를 직접 관리, 거래명세·입고수량·세금계산서 금액 모두 일치",추가검토,높음,R010_SUPPLIER_NAME_MISMATCH,명의와 실질 거래주체 판단,세금계산서 명의와 실제 공급자의 일치 여부는 구체적 거래 사실을 확인해야 함,부가가치세법 제39조 제1항 제2호,계약·발주·납품·대금수령 주체와 명의자의 실제 관여를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제39조,"부재료비 | 포장필름 | 형식상 제3자 명의 사업자등록이나 실운영자가 생산설비·직원·계좌를 직접 관리, 거래명세·입고수량·세…",2026-08-13
프로토타입 1차 스크리닝,18260129-3,과세매입,외주가공비,도금가공,3768000,납품제품 표면 아연도금 외주가공,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,외주가공비 | 도금가공 | 납품제품 표면 아연도금 외주가공,2026-08-13
프로토타입 1차 스크리닝,18260129-4,과세매입,복리후생비(생산),생산직원식대,2172000,야간 잔업 생산직원 식대 18명,공제 가능,중간,R150_EMPLOYEE_WELFARE_TRAINING,종업원 복리후생·직무교육,종업원 공동 복리후생과 직무 관련 교육은 사업 관련 매입으로 공제 가능,부가가치세법 제38조 제1항,대상자가 종업원인지와 복리후생 기준을 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,복리후생비(생산) | 생산직원식대 | 야간 잔업 생산직원 식대 18명,2026-08-13
프로토타입 1차 스크리닝,18260130-1,과세매입,복리후생비(생산),생산직원식대,7478000,야간 잔업 생산직원 식대 18명,공제 가능,중간,R150_EMPLOYEE_WELFARE_TRAINING,종업원 복리후생·직무교육,종업원 공동 복리후생과 직무 관련 교육은 사업 관련 매입으로 공제 가능,부가가치세법 제38조 제1항,대상자가 종업원인지와 복리후생 기준을 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,복리후생비(생산) | 생산직원식대 | 야간 잔업 생산직원 식대 18명,2026-08-13
프로토타입 1차 스크리닝,18260130-2,과세매입,지급수수료,회계감사,8011000,외부감사 대응 재고실사 및 회계자문 수수료,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,지급수수료 | 회계감사 | 외부감사 대응 재고실사 및 회계자문 수수료,2026-08-13
프로토타입 1차 스크리닝,18260130-3,과세매입,복리후생비,개인용품,2003000,대표이사 자택 사용 가전제품 구매,불공제 가능,높음,R030_PRIVATE_OR_HOME_USE,사업과 직접 관련 없는 개인·가사 지출,대표자 개인사용·가사 지출 등 사업과 직접 관련 없는 지출은 불공제,부가가치세법 제39조 제1항 제4호·시행령 제77조,실제 사용 장소와 사용자 및 회사업무 관련성을 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제77조,복리후생비 | 개인용품 | 대표이사 자택 사용 가전제품 구매,2026-08-13
프로토타입 1차 스크리닝,18260130-4,과세매입,지급수수료,자문료,3832000,외부 컨설팅 수수료 - 프로젝트명 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,지급수수료 | 자문료 | 외부 컨설팅 수수료 - 프로젝트명 미기재,2026-08-13
프로토타입 1차 스크리닝,18260131-1,과세매입,지급수수료,회계감사,6343000,외부감사 대응 재고실사 및 회계자문 수수료,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,지급수수료 | 회계감사 | 외부감사 대응 재고실사 및 회계자문 수수료,2026-08-13
프로토타입 1차 스크리닝,18260131-2,과세매입,비품,노트북,3236000,품질관리팀 검사데이터 분석용 노트북 구입,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,비품 | 노트북 | 품질관리팀 검사데이터 분석용 노트북 구입,2026-08-13
프로토타입 1차 스크리닝,18260131-3,과세매입,소모품비(생산),안전장갑,1305000,현장 생산직 지급용 안전장갑 구매,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,소모품비(생산) | 안전장갑 | 현장 생산직 지급용 안전장갑 구매,2026-08-13
프로토타입 1차 스크리닝,18260131-4,과세매입,외주가공비,절삭가공,680000,"외주업체 사업자등록 명의자는 배우자이나 실제 운영자가 수년간 직접 공장 운영·견적·납품·대금관리, 가공품 수량·단가 일치",추가검토,높음,R010_SUPPLIER_NAME_MISMATCH,명의와 실질 거래주체 판단,세금계산서 명의와 실제 공급자의 일치 여부는 구체적 거래 사실을 확인해야 함,부가가치세법 제39조 제1항 제2호,계약·발주·납품·대금수령 주체와 명의자의 실제 관여를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제39조,"외주가공비 | 절삭가공 | 외주업체 사업자등록 명의자는 배우자이나 실제 운영자가 수년간 직접 공장 운영·견적·납품·대금관리, 가공품 수량·단가 일치",2026-08-13
프로토타입 1차 스크리닝,18260201-1,과세매입,소모품비,가사용품,2101000,대표 개인주거지 배송 가사용 생활용품,불공제 가능,높음,R030_PRIVATE_OR_HOME_USE,사업과 직접 관련 없는 개인·가사 지출,대표자 개인사용·가사 지출 등 사업과 직접 관련 없는 지출은 불공제,부가가치세법 제39조 제1항 제4호·시행령 제77조,실제 사용 장소와 사용자 및 회사업무 관련성을 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제77조,소모품비 | 가사용품 | 대표 개인주거지 배송 가사용 생활용품,2026-08-13
프로토타입 1차 스크리닝,18260201-2,과세매입,임차료,승용차렌트,1030000,영업관리용 5인승 승용차 월 렌트료,불공제 가능,높음,R050_SMALL_PASSENGER_CAR,비영업용 소형승용자동차 관련,직접 영업에 쓰는 예외 업종 외 소형승용차의 구입·임차·유지는 불공제,부가가치세법 제39조 제1항 제5호·시행령 제78조,차종·정원·배기량·차량번호와 직접 영업 사용 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제78조,임차료 | 승용차렌트 | 영업관리용 5인승 승용차 월 렌트료,2026-08-13
프로토타입 1차 스크리닝,18260201-3,과세매입,소모품비,전자기기,2931000,태블릿PC 구매 - 사용자 및 사용부서 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,소모품비 | 전자기기 | 태블릿PC 구매 - 사용자 및 사용부서 미기재,2026-08-13
프로토타입 1차 스크리닝,18260201-4,과세매입,통신비,법인휴대폰,5235000,영업팀 법인명의 업무용 휴대전화 요금,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,통신비 | 법인휴대폰 | 영업팀 법인명의 업무용 휴대전화 요금,2026-08-13
프로토타입 1차 스크리닝,18260202-1,과세매입,수선비,시설수리,1295000,건물 시설 수리비 - 사업장/사택 구분 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,수선비 | 시설수리 | 건물 시설 수리비 - 사업장/사택 구분 미기재,2026-08-13
프로토타입 1차 스크리닝,18260202-2,과세매입,회의비,식대,3425000,외부 참석자 포함 회의 식대 - 참석자 명단 미첨부,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,회의비 | 식대 | 외부 참석자 포함 회의 식대 - 참석자 명단 미첨부,2026-08-13
프로토타입 1차 스크리닝,18260202-3,과세매입,수선비,설비수리,76000,CNC 선반 스핀들 고장 수리 및 부품교체,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,수선비 | 설비수리 | CNC 선반 스핀들 고장 수리 및 부품교체,2026-08-13
