전표번호,전표유형,계정과목,품목이름,금액,적요
18260306-1,과세매입,원자재,철판,"3,864,000",A라인 생산용 SS400 철판 원재료 매입
18260306-2,과세매입,임차료,승용차렌트,"1,853,000",영업관리용 5인승 승용차 월 렌트료
18260306-3,과세매입,기업업무추진비,골프비,"2,403,000",거래처 관계유지 목적 골프장 이용료
18260306-4,과세매입,차량유지비,승용차수리,"1,130,000","관리팀 1,600cc 승용차 엔진오일 및 수리"
18260307-1,과세매입,수선비,시설수리,"1,087,000",건물 시설 수리비 - 사업장/사택 구분 미기재
18260307-2,과세매입,소모품비(생산),안전장갑,"6,437,000",현장 생산직 지급용 안전장갑 구매
18260307-3,과세매입,여비교통비,숙박비,"1,720,000",지방 숙박비 - 출장자 및 출장목적 미기재
18260307-4,과세매입,원자재,스프원료,"7,260,000",공급자 등록명의와 실운영자 상이. 실운영자가 계약·납품·대금수령 전담했고 세금계산서 기재 수량과 실제 검수수량·가격이 일치 / 계약서·거래명세·계좌이체 증빙 보관
18260308-1,과세매입,차량유지비,승용차수리,"336,000","관리팀 1,600cc 승용차 엔진오일 및 수리"
18260308-2,과세매입,소모품비(생산),안전장갑,"7,129,000",현장 생산직 지급용 안전장갑 구매
18260308-3,과세매입,외주가공비,도금가공,"790,000",납품제품 표면 아연도금 외주가공
18260308-4,과세매입,외주가공비,도금가공,"8,473,000",납품제품 표면 아연도금 외주가공
18260309-1,과세매입,원자재,철판,"1,921,000",A라인 생산용 SS400 철판 원재료 매입
18260309-2,과세매입,광고선전비,제품카탈로그,"5,296,000","B2B 영업용 제품 카탈로그 2,000부 제작"
18260309-3,과세매입,차량유지비,승용차수리,"2,367,000","관리팀 1,600cc 승용차 엔진오일 및 수리"
18260309-4,과세매입,여비교통비,숙박비,"4,259,000",지방 숙박비 - 출장자 및 출장목적 미기재
18260310-1,과세매입,부재료비,용접봉,"2,195,000",생산공정 용접작업용 용접봉 구매
18260310-2,과세매입,부재료비,포장필름,"4,470,000","형식상 제3자 명의 사업자등록이나 실운영자가 생산설비·직원·계좌를 직접 관리, 거래명세·입고수량·세금계산서 금액 모두 일치 / 계약서·거래명세·계좌이체 증빙 보관"
18260310-3,과세매입,부재료비,용접봉,"5,640,000",생산공정 용접작업용 용접봉 구매
18260310-4,과세매입,광고선전비,제품카탈로그,"4,796,000","B2B 영업용 제품 카탈로그 2,000부 제작"
18260311-1,과세매입,기업업무추진비,거래처식사,"802,000",주요 거래처 임원 4명 접대 목적 저녁식사
18260311-2,과세매입,복리후생비,개인용품,"1,080,000",대표이사 자택 사용 가전제품 구매
18260311-3,과세매입,임차료,승용차렌트,"2,358,000",영업관리용 5인승 승용차 월 렌트료
18260311-4,과세매입,회의비,식대,"4,989,000",외부 참석자 포함 회의 식대 - 참석자 명단 미첨부
18260312-1,과세매입,통신비,법인휴대폰,"5,661,000",영업팀 법인명의 업무용 휴대전화 요금
18260312-2,과세매입,복리후생비,식대,"4,466,000",주말 식대 6명 - 임직원 여부 미기재
18260312-3,과세매입,여비교통비,숙박비,"4,133,000",지방 숙박비 - 출장자 및 출장목적 미기재
18260312-4,과세매입,외주가공비,절삭가공,"2,370,000","외주업체 사업자등록 명의자는 배우자이나 실제 운영자가 수년간 직접 공장 운영·견적·납품·대금관리, 가공품 수량·단가 일치 / 계약서·거래명세·계좌이체 증빙 보관"
18260313-1,과세매입,소모품비(생산),안전장갑,"7,155,000",현장 생산직 지급용 안전장갑 구매
18260313-2,과세매입,교육훈련비,안전교육,"6,136,000",생산팀 산업안전·설비조작 교육비
18260313-3,과세매입,원자재,철판,"6,477,000",A라인 생산용 SS400 철판 원재료 매입
18260313-4,과세매입,수선비,설비수리,"681,000",CNC 선반 스핀들 고장 수리 및 부품교체
18260314-1,과세매입,수선비,설비수리,"129,000",CNC 선반 스핀들 고장 수리 및 부품교체
18260314-2,과세매입,기업업무추진비,거래처식사,"2,052,000",주요 거래처 임원 4명 접대 목적 저녁식사
18260314-3,과세매입,여비교통비,숙박비,"4,974,000",지방 숙박비 - 출장자 및 출장목적 미기재
18260314-4,과세매입,임차료,공장창고,"8,885,000",원재료 보관용 외부 창고 월 임차료
18260315-1,과세매입,운반비,화물운송,"4,186,000",완제품 거래처 납품용 5톤 화물운송
18260315-2,과세매입,원자재,알루미늄판,"4,560,000",세금계산서 명의와 실운영자 이름이 다르나 실제 운영자가 발주협의·출고·대금정산을 직접 수행하고 알루미늄판 전량 입고 확인 / 계약서·거래명세·계좌이체 증빙 보관
18260315-3,과세매입,복리후생비(관리),직원간식,"2,470,000",사무실 전 직원 공용 간식 및 생수 구매
18260315-4,과세매입,복리후생비,개인용품,"832,000",대표이사 자택 사용 가전제품 구매
18260316-1,과세매입,기업업무추진비,거래처선물,"1,058,000",거래처 대표 명절 선물세트 제공
18260316-2,과세매입,차량유지비,승용차유류,"1,130,000","대표이사 업무용 2,000cc 승용차 주유"
18260316-3,과세매입,복리후생비,식대,"4,465,000",주말 식대 6명 - 임직원 여부 미기재
18260316-4,과세매입,복리후생비(관리),직원간식,"6,836,000",사무실 전 직원 공용 간식 및 생수 구매
18260317-1,과세매입,지급수수료,자문료,"4,125,000",외부 컨설팅 수수료 - 프로젝트명 미기재
18260317-2,과세매입,복리후생비,식대,"1,067,000",주말 식대 6명 - 임직원 여부 미기재
18260317-3,과세매입,복리후생비(생산),생산직원식대,"4,501,000",야간 잔업 생산직원 식대 18명
18260317-4,과세매입,원자재,고무패킹,"4,530,000","공급처는 가족 명의 사업자등록. 실운영자가 해당 사업체를 독립적으로 운영하고 직원급여·재고·매출대금 관리, 실제 납품내역과 세금계산서 일치 / 계약서·거래명세·계좌이체 증빙 보관"
18260318-1,과세매입,비품,노트북,"8,029,000",품질관리팀 검사데이터 분석용 노트북 구입
18260318-2,과세매입,복리후생비(관리),직원간식,"8,688,000",사무실 전 직원 공용 간식 및 생수 구매
18260318-3,과세매입,임차료,공장창고,"1,581,000",원재료 보관용 외부 창고 월 임차료
18260318-4,과세매입,수선비,설비수리,"2,384,000",CNC 선반 스핀들 고장 수리 및 부품교체
18260319-1,과세매입,기업업무추진비,골프비,"868,000",거래처 관계유지 목적 골프장 이용료
18260319-2,과세매입,지급수수료,자문료,"3,267,000",외부 컨설팅 수수료 - 프로젝트명 미기재
18260319-3,과세매입,지급수수료,회계감사,"1,172,000",외부감사 대응 재고실사 및 회계자문 수수료
18260319-4,과세매입,교육훈련비,안전교육,"298,000",생산팀 산업안전·설비조작 교육비
18260320-1,과세매입,비품,노트북,"4,416,000",품질관리팀 검사데이터 분석용 노트북 구입
18260320-2,과세매입,부재료비,볼트세트,"7,050,000",제3자 명의 사업자등록 사용 사실 확인. 다만 실운영자가 직접 거래했고 물품 수량·가격·입고일·계좌이체가 세금계산서와 일치 / 계약서·거래명세·계좌이체 증빙 보관
18260320-3,과세매입,기업업무추진비,거래처식사,"277,000",주요 거래처 임원 4명 접대 목적 저녁식사
18260320-4,과세매입,복리후생비,개인용품,"149,000",대표이사 자택 사용 가전제품 구매
18260321-1,과세매입,기업업무추진비,거래처식사,"494,000",주요 거래처 임원 4명 접대 목적 저녁식사
18260321-2,과세매입,소모품비,전자기기,"4,939,000",태블릿PC 구매 - 사용자 및 사용부서 미기재
18260321-3,과세매입,부재료비,용접봉,"8,124,000",생산공정 용접작업용 용접봉 구매
18260321-4,과세매입,수선비,시설수리,"1,251,000",건물 시설 수리비 - 사업장/사택 구분 미기재
18260322-1,과세매입,지급수수료,자문료,"3,687,000",외부 컨설팅 수수료 - 프로젝트명 미기재
18260322-2,과세매입,수선비,설비수리,"24,000",CNC 선반 스핀들 고장 수리 및 부품교체
18260322-3,과세매입,임차료,승용차렌트,"551,000",영업관리용 5인승 승용차 월 렌트료
18260322-4,과세매입,외주가공비,도장가공,"4,130,000",명의상 대표와 실제 운영자가 다르나 실운영자가 공장·인력·비용·수익을 직접 관리하고 당사 발주품을 실제 가공·납품한 자료 확인 / 계약서·거래명세·계좌이체 증빙 보관
